Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1985 - 2026,,,,,,
Species: ALL FOOD AND BAIT,,,,,,
Subject to Revision,,,,,,
Years before 2025 are final,,,,,,
"Report created: July 13, 2026",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1985,HILLSBOROUGH,"CRAB, STONE, LARGE CLAWS",590,7,4.57,2696
1985,HILLSBOROUGH,"CRAB, STONE, MEDIUM CLAWS",505,7,3.64,1838
1985,HILLSBOROUGH,"LOBSTER, SPANISH",172,8,4.9,843
1985,HILLSBOROUGH,"LOBSTER, SPINY",34,3,2.36,80
1985,HILLSBOROUGH,OCTOPUS,153,2,0.6,92
1985,HILLSBOROUGH,SQUID,5159,81,0.38,1960
1985,HILLSBOROUGH,"SHRIMP, BROWN",4262,1,1.95,8331
1985,HILLSBOROUGH,"SHRIMP, OTHER",133674,39,1.76,235740
1985,HILLSBOROUGH,"SHRIMP, PINK",909237,437,1.94,1766505
1985,HILLSBOROUGH,"SHRIMP, ROCK",759244,169,0.6,458221
1985,HILLSBOROUGH,"SHRIMP, ROYAL RED",4180,4,,0
1985,HILLSBOROUGH,"SHRIMP, WHITE",300,2,2.61,784
1985,HILLSBOROUGH,"SHRIMP, BAIT",53631,300,699.92,37537479
1985,INDIAN RIVER,AMBERJACKS,2754,44,0.22,609
1985,INDIAN RIVER,BAIT FISH,133,5,0.18,24
1985,INDIAN RIVER,BALLYHOO,2,1,0.4,1
1985,INDIAN RIVER,BLUE RUNNER,318,24,0.15,48
1985,INDIAN RIVER,BLUEFISH,34395,1388,0.17,5847
1985,INDIAN RIVER,CATFISH,1869,14,0.39,729
1985,INDIAN RIVER,COBIA,1362,54,0.78,1061
1985,INDIAN RIVER,CROAKER,13379,98,0.39,5218
1985,INDIAN RIVER,DOLPHIN,2287,156,0.78,1773
1985,INDIAN RIVER,"DRUM, BLACK",1854,38,0.25,464
1985,INDIAN RIVER,"DRUM, RED (REDFISH)",6764,260,0.64,4331
1985,INDIAN RIVER,FLOUNDERS,286,43,1.13,323
1985,INDIAN RIVER,GOATFISHES,9,2,1,9
1985,INDIAN RIVER,"GROUPER, BLACK",35368,329,1.43,50654
1985,INDIAN RIVER,"GROUPER, GAG",5671,67,1.35,7642
1985,INDIAN RIVER,"GROUPER, GOLIATH",208,2,0.67,139
1985,INDIAN RIVER,"GROUPER, MIXED",407,9,1.16,473
1985,INDIAN RIVER,"GROUPER, NASSAU",1036,22,1.53,1580
1985,INDIAN RIVER,"GROUPER, OTHER",204,8,1.37,280
1985,INDIAN RIVER,"GROUPER, RED",497,1,1.17,581
1985,INDIAN RIVER,"GROUPER, WARSAW",2924,7,0.71,2082
1985,INDIAN RIVER,"GROUPER, YELLOWEDGE",1,1,1.31,2
1985,INDIAN RIVER,GRUNTS,5,2,0.41,2
1985,INDIAN RIVER,"JACK, CREVALLE",3293,4,0.13,428
1985,INDIAN RIVER,"JACK, MIXED",5790,137,0.2,1158
1985,INDIAN RIVER,"JACK, OTHER",1854,123,0.14,260
1985,INDIAN RIVER,KINGFISH (WHITING),7196,699,0.43,3094
1985,INDIAN RIVER,"MACKEREL, KING",309305,1255,1.09,336072
1985,INDIAN RIVER,"MACKEREL, SPANISH",11129,637,0.29,3227
1985,INDIAN RIVER,MENHADEN,795277,1254,0.15,119292
1985,INDIAN RIVER,MISC. FOOD FISH,2226,23,0.3,667
1985,INDIAN RIVER,MISC. INDUSTRIAL FISH,52,3,0.3,16
1985,INDIAN RIVER,MOJARRA,878,5,0.33,290
